역코드,역명,영문
201,장산,Jangsan
202,중동,Jung-dong
203,해운대,Haeundae
204,동백,Dongbaek
205,시립미술관,Busan Museum of Art
206,센텀시티,Centum City
207,민락,Millak
208,수영(2),Suyeong
209,광안,Gwangan
210,금련산,Geumnyeonsan
211,남천,Namcheon
212,경성대·부경대,Kyungsung Univ.ㆍPukyong Natl Univ
213,대연,Daeyeon
214,못골,Motgol
215,지게골,Jigegol
216,문현,Munhyeon
217,국제금융센터·부산은행,Busan Intl Finance Center·Busan Bank
218,전포,Jeonpo
219,서면(2),Seomyeon
220,부암,Buam
221,가야,Gaya
222,동의대,Dongeui Univ
223,개금,Gaegeum
224,냉정,Naengjeong
225,주례,Jurye
226,감전,Gamjeon
227,사상(2),Sasang
228,덕포,Deokpo
229,모덕,Modeok
230,모라,Mora
231,구남,Gunam
232,구명,Gumyeong
233,덕천(2),Deokcheon
234,수정,Sujeong
235,화명,Hwamyeong
236,율리,Yulli
237,동원,Dongwon
238,금곡,Geumgok
239,호포,Hopo
240,증산,Jeungsan
241,부산대 양산캠퍼스,Pusan Natl Univ. Yangsan Campus
242,남양산,Namyangsan
243,양산,Yangsan
