역코드,역명,영문
401,미남(4),Minam
402,동래(4),Dongnae
403,수안,Suan
404,낙민,Nangmin
405,충렬사,Chungnyeolsa
406,명장,Myeongjang
407,서동,Seo-dong
408,금사,Geumsa
409,반여농산물시장,Banyeo Agricultural Market
410,석대,Seokdae
411,영산대,Youngsan Univ
412,윗반송,Witbansong
413,고촌,Gochon
414,안평,Anpyeong
