역코드,역명,영문
301,수영,Suyeong
302,망미,Mangmi
303,배산,Baesan
304,물만골,Mulmangol
305,연산(3),Yeonsan
306,거제,Geoje
307,종합운동장,Sports Complex
308,사직,Sajik
309,미남(3),Minam
310,만덕,Mandeok
311,남산정,Namsanjeong
312,숙등,Sukdeung
313,덕천(3),Deokcheon
314,구포,Gupo
315,강서구청,Gangseo-gu Office
316,체육공원,Sports Park
317,대저,Daejeo
