,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,평점
47,황태를 벗삼아,4.32,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220505_78%2F1651723611253JBic0_JPEG%2FC07466AD-8560-47A7-BD09-CC68ADAE828A.jpeg,196,99,8.42
48,광복경양식 남포본점,4.4,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210325_9%2F1616646494863P7LPP_JPEG%2FaYK4a4FOSAAn9HrEqVBqy4Iu.jpg,595,135,8.85
49,e조은참치,4.13,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210505_9%2F1620140619662FP0ub_JPEG%2Fd3DPtAbZKc5pBsujkDwvG753.jpeg.jpg,95,34,8.23
50,본도시락 부산중앙역점,4.11,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200901_4%2F1598926804412Gbukd_JPEG%2FiSXaa1zp9Z_yco1SxaQbV-Eg.jpg,173,5,8.21
51,네거리집,4.8,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220524_234%2F1653354178716MxPl6_JPEG%2FKakaoTalk_Photo_2022-05-24-09-17-07_011.jpeg,77,36,8.9
52,오유미당 영도점,4.86,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220120_6%2F16426744042890Aru0_JPEG%2F1642674383402.jpg,696,131,9.38
53,구포밀면,4.34,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190708_8%2F1562568121638CfMaI_JPEG%2Fu1kyfLmOy1zvmQQVrfw2lQpY.jpeg.jpg,322,91,8.65
54,젠틀러커피,,,236,348,
55,우이,4.7,,66,31,8.8
56,무공돈까스 부산중앙역점,4.33,,309,228,8.7
57,전주식당,4.37,,304,100,8.68
58,톤키,4.57,,143,30,8.67
59,밀양집,4.23,,360,63,8.54
60,동네회관,4.47,,121,21,8.57
61,푸줏간,4.36,,67,38,8.46
62,카피쿡,,,191,166,
63,미주스,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220321_1%2F1647830642934vIY8T_JPEG%2FKakaoTalk_20220320_192028531_18.jpg,9,9,
64,대청126 카페,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220522_290%2F1653189829299Hvkhp_JPEG%2F20220522_081437.jpg,20,3,
65,양산집,4.43,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190125_20%2F15484125095167mvpA_PNG%2FwLC7VNVOu_oyEPLuzHwHa7Jc.png,534,386,8.97
66,낙곱새 닭곱새 고래섬,4.36,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190123_81%2F1548225106391uztAO_JPEG%2FsWuVndie4HmeP_rb5WbnCRms.jpeg.jpg,160,40,8.46
67,스톤스트리트 남포점,4.61,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220321_290%2F1647872855782slqBL_JPEG%2FResized_1646224493831-4.jpeg,1077,869,9.41
68,어머니간장게장,4.55,,93,19,8.65
69,어스,4.62,,220,31,8.86
70,미니뷔페 우체국,,,8,3,
71,할리스 부산중앙역점,4.24,,237,11,8.48
72,다깡 중앙점,4.4,,109,171,8.5
73,크로플덕 오리아가씨 부산중앙점,,,6,1,
74,카페 투게더,4.67,,104,16,8.77
75,40계단달팽이식당,4.37,,201,25,8.61
76,킹콩부대찌개 부산중앙점,4.43,,263,25,8.67
77,다니엘쿠키,4.75,,67,5,8.85
78,쏘파치 중앙동본점,,,11,,
79,혼참치,4.92,,13,4,9.02
80,통영멸치쌈밥집,4.49,,134,20,8.59
81,풍악,,,8,11,
82,황해면옥 국제시장 본점,4.37,,147,54,8.47
83,다무치아,4.56,,103,45,8.66
84,대궁삼계탕,4.4,,162,36,8.5
85,우텐,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211228_157%2F1640677559503gwiry_JPEG%2FP20211220_160436176_394770B2-3F5F-42C9-BB59-0EC97B50C72C.JPG,181,438,
86,용문,4.58,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200413_283%2F1586747590144L6rMb_JPEG%2FzuoQq6mq5rKkfzvrtHAVudLE.jpg,150,33,8.68
87,강가면옥,4.47,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190123_118%2F15482261140330n25f_JPEG%2Fpcyz_uLKLPxD-M3sFDaLTUtB.jpeg.jpg,328,30,8.78
88,동해남부선,4.24,,128,95,8.34
89,분식공장,4.53,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201208_79%2F16074031465046jLiW_JPEG%2FZ9S-0DNhXJpv5WBUIDn-V4Lo.jpeg.jpg,209,54,8.77
90,홍춘천치즈닭갈비 중앙역점,4.37,,165,70,8.47
91,스타벅스 부산중앙역점,4.52,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png,2227,65,9.25
92,부산꼼장어맛집성일집,4.41,,478,453,8.91
93,인에틱,,,12,16,
94,바래식당,4.25,,215,9,8.49
95,영도맛집송영희돈까스,,,145,49,
96,산청돼지국밥,4.38,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180731_128%2F1533013454307YlAyO_JPEG%2F1_BJkQpWf4BCLJwQkewjvhUY.jpg,178,52,8.48
97,유미카츠 부산중앙점,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220517_163%2F1652771688744LEb4c_JPEG%2FIMG_6883.jpg,61,19,
98,아나브린,4.62,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210727_80%2F1627368077572jlWrT_JPEG%2FXacAPHcTEptVHnKYaDR5rw22.jpg,147,276,8.78
99,파머스버거,4.52,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F%2F20161026_31%2F1477469558436D9jkX_JPEG%2F1477469618010.jpg,48,106,8.62
100,카파드래곤,4.69,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210418_198%2F1618731979853m2hoH_JPEG%2FFnr-VKIAI8GMGOxd4SUXC2bR.jpg,55,18,8.79
101,옹골찬,4.66,,132,33,8.76
102,정직유부 부산중앙점,4.54,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_164%2F15669600178018bJRT_JPEG%2FAmzFaB18MQRFj-pwVtrWjywn.jpg,150,4,8.64
103,더함,4.56,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181018_118%2F1539810520314GGt1r_JPEG%2FcjFETmUCARJx_rxqOnIcjaSK.jpg,156,26,8.66
104,거인통닭,4.37,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200420_132%2F1587361359892qncnv_JPEG%2FZN9u_EyOr4PPE_z2O5e-0T6X.jpg,1938,1039,9.24
105,커피트웰브 중앙동12시,4.62,,42,23,8.72
106,대게집,4.36,,42,28,8.46
107,컴포즈커피 중앙동40계단점,4.57,,481,4,8.95
108,김영태스시앤사시미마을,4.4,,27,16,8.5
109,원조 영도 포항 물회,4.27,,154,28,8.37
110,화반 중앙4호점,4.38,,208,21,8.62
111,오겡끼카레,,,13,181,
112,홍돈가,4.8,,92,18,8.9
113,소우주,4.47,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191007_300%2F1570439341418PL7Ef_JPEG%2FQ7BeFJLC0YZwfU1Mgio2skqf.jpg,23,16,8.57
114,소돼장,3.25,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200305_10%2F1583408084723ImvXr_JPEG%2FK303bdCtfTn6RYgC9qeBS-Qu.jpg,15,35,7.35
115,베러먼데이 중앙점,4.65,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220401_248%2F1648799879044pgu5j_JPEG%2FAD_%25B7%25B9%25B8%25F3%25BF%25A1%25C0%25CC%25B5%25E5.jpg,71,9,8.75
116,한잔ok포차,4.71,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220128_260%2F1643306033123WVNYG_JPEG%2FIMG_20210727_185450_453.jpg,16,45,8.81
117,드메르,4.73,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180501_205%2F1525144806772MhGWo_JPEG%2FZThQAf5_Vq5LsjzecmBK2ZYd.jpeg.jpg,148,20,8.83
118,신군아꾸버라,4.73,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210208_289%2F1612783991009nEyi0_JPEG%2FNRd70YdE204yb4maK4QsuL2W.jpg,23,7,8.83
119,라발스 스카이 카페&바 부산 라발스호텔점,4.4,,838,553,9.14
