,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,방문자 리뷰 구간,블로그 리뷰 구간,평점
51,청솔양곱창,4.37,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180514_110%2F1526299603238zUQMx_JPEG%2FaH6xUQWjS_t1vO87Vq1-N6uw.JPG.jpg,67,16,3,6,9.01
52,카페문득,4.52,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180827_208%2F1535372414911Yg7av_JPEG%2FW-NsXTcwzO1ABG8rRCYly2x6.jpg,198,79,7,9,9.48
53,연화리 1번집,4.33,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190927_55%2F15695653594754b6lE_JPEG%2FEfmajY5OO9baXdi9_bL0NsFl.jpg,68,64,3,9,9.21
54,후라이드참잘하는집 괴정감천점,4.55,,328,17,8,6,9.29
55,배스킨라빈스 부산괴정점,4.49,,885,14,9,5,9.17
56,장미돼지국밥 괴정점,4.58,,266,28,7,7,9.38
57,진흥반점,4.48,,82,5,4,2,8.82
58,쉐라미과자점,4.38,,510,15,9,5,9.06
59,미양이네 단팥죽,4.56,,43,4,2,2,8.86
60,괴정분식,4.47,,829,87,9,9,9.47
61,오사카삼겹살 괴정점,4.24,,336,18,8,6,8.98
62,샤갈,4.51,,135,20,6,7,9.29
63,오복정,4.41,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180327_247%2F1522125962390PUhkj_JPEG%2FGSpWQHNhmLjXRzkG5JCois_9.jpg,85,27,5,7,9.17
64,설빙 부산괴정점,4.41,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150902_123%2F1441120916511cHP1Y_JPEG%2F156478517635612_0.jpeg,210,104,7,9,9.37
65,괴정밀면,4.25,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190111_46%2F1547196634506VFohG_JPEG%2FoA8lW_YXZ3pdzMd2ootTWsBV.jpeg.jpg,47,7,2,3,8.63
68,거인통닭,4.63,,24,6,0,3,8.97
69,BBQ치킨 부산괴정점,4.52,,71,7,4,3,8.94
70,리우,4.52,,997,26,9,7,9.36
71,향촌돼지국밥,4.53,,411,39,8,8,9.43
72,고구려짬뽕10101 괴정점,4.3,,222,138,7,9,9.26
73,쑝쑝돈까스 괴정점,4.43,,459,18,8,6,9.17
74,W라운지,4.47,,17,2,0,0,8.57
76,이바돔감자탕 괴정점,4.34,,300,38,7,8,9.22
78,이삭토스트 괴정점,4.52,,504,11,9,5,9.2
79,풍산면옥,4.38,,44,32,2,8,9.16
80,가마치통닭 대티점,4.47,,91,4,5,2,8.83
81,이디야커피 부산괴정대로점,4.33,,348,6,8,3,8.83
82,사천성,4.45,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200130_151%2F1580365798019cjprM_JPEG%2Fh0lZ3X4tVg-nzeRi0vj8DGKe.jpg,80,14,4,5,9.03
