,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,방문자 리뷰 구간,블로그 리뷰 구간,평점
120,온천장소문난손칼국수,4.39,,211,74,7,9,9.35
125,시골보리밥,4.47,,48,9,2,5,9.01
127,남산동 명태골,4.5,,52,1,2,0,8.64
130,합천삼가황토한우,4.58,,100,9,4,5,9.16
132,노포카페,4.63,,131,17,5,6,9.31
135,장가계,4.27,,146,14,6,6,8.97
140,장보고회수산,4.35,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190623_283%2F15612903341519sVJx_JPEG%2FG7m1Hf-Zv37rh3dlVgXIVd2v.jpg,50,7,2,4,8.81
143,막끌리네,4.63,,16,2,0,1,8.81
145,척척네,4.33,,38,12,1,5,8.85
150,명랑핫도그 남산점,4.65,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180529_44%2F15275551066368kqYM_JPEG%2FNqNFhF7pfENUJEDjZ2UQhze-.jpg,76,7,3,4,9.13
151,고래야,4.62,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220731_6%2F1659243624329kX7kx_JPEG%2F1659243557893.jpg,20,7,0,4,9.04
154,김밥천국 팔송점,4.19,,46,5,2,3,8.57
155,불막열삼 범어사점,4.42,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170727_53%2F1501135274285bcMP1_JPEG%2F186677553134205_0.jpeg,102,14,4,6,9.08
156,동키치킨 청룡점,4.67,,12,1,0,0,8.77
157,CAFFEWITH,4.34,,250,28,7,7,9.14
159,가족 숯불갈비,4.5,,127,25,5,7,9.26
160,청송맷돌순두부,4.31,,395,35,8,7,9.13
161,동산원,4.55,,19,3,0,3,8.89
165,맥시칸치킨 남산점,4.26,,82,6,4,4,8.76
167,보고커피 남산본점,4.57,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211124_276%2F1637726613776rHeGN_JPEG%2FKakaoTalk_20211109_111117748.jpg,382,56,8,8,9.47
170,부부도매횟집,4.43,,66,2,3,1,8.67
171,히로가츠,4.28,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210421_275%2F1618994986787ta3MJ_JPEG%2FKakaoTalk_20210421_174557806.jpg,92,9,4,5,8.86
174,쿡보이,4.25,,52,37,3,8,9.05
175,소풍경 남산점,4.64,,105,5,5,3,9.08
177,까페위드,4.9,,16,2,0,1,9.08
178,소풍,4.63,,36,3,1,3,8.99
180,커피베이 부산범어사점,4.2,,190,1,7,0,8.44
182,알통떡강정 남산점,4.53,,102,2,4,2,8.87
183,고봉민김밥인 부산남산점,4.45,,626,7,9,4,9.05
184,프롬엘키친,4.76,,157,161,6,9,9.7
185,더벤티 범어사역점,4.68,,131,2,5,2,9.04
187,어울림커피,4.43,,99,24,4,7,9.17
188,오동통치킨,4.61,,240,66,7,8,9.49
192,이삭토스트 부산팔송점,4.76,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220524_216%2F16533559367426UxOJ_PNG%2F%25B3%25D7%25C0%25CC%25B9%25F6_%25C4%25DC%25C4%25A1%25C1%25EE%25C5%25E4%25BD%25BA%25C6%25AE_400x400.png,194,3,7,3,9.24
193,춘하추동칼국수 남산점,4.39,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200113_126%2F1578907571900BAJH3_JPEG%2FzMmfns5KyN7FXQ8SlOtd8cS8.jpg,168,17,6,6,9.09
194,처갓집양념치킨 남산점,4.56,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200120_298%2F1579504110347tJgty_JPEG%2FC_lo6OmP2LbyOHVZh-W2FOtu.jpg,106,3,5,3,9.0
196,강원식당,4.46,,16,2,0,2,8.72
197,팔송식당,4.55,,43,6,2,4,9.01
199,배떡 남산점,4.71,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210202_127%2F1612262557517aSfpP_JPEG%2Fer8tX1i3xgT2RYGJJeiLYqgS.jpeg.jpg,36,5,1,3,9.07
202,맘스터치 부산금정체육공원점,4.34,,212,3,7,3,8.82
203,다가치통닭 부산 범어사역점,4.66,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210809_126%2F16284815489501Nx1s_JPEG%2FC63dZOIvnHsDd-VWTBIoApBS.jpg,88,10,4,5,9.24
206,이디야커피 부산범어사역점,4.58,,187,3,6,3,9.04
209,고향국수,4.33,,12,2,0,2,8.59
210,브레드빈,4.59,,425,4,8,3,9.09
214,다정뷔페,4.39,,90,1,4,0,8.57
216,정항우케익 범어사역점,4.18,,172,1,6,0,8.4
217,롯데리아 부산범어사역점,4.5,,673,13,9,5,9.18
218,맘스터치 범어사역점,4.57,,323,13,8,5,9.23
219,송해반점,4.58,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190119_149%2F1547883947328z6YxY_JPEG%2F7UAP_Ska0ob3ziqPZNTK95-r.jpg,145,5,6,4,9.12
221,핸즈커피 범어사역점,4.58,,94,9,4,5,9.16
