,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,평점
44,락천각,4.4,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200418_154%2F1587190915255dBUh5_JPEG%2FKkLVKJRG6lgCTfJgot9DduK2.jpg,156,189,8.5
45,제주가 부산역직영점,4.57,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200418_85%2F1587180377152eGM9Q_JPEG%2FyZWC4ngXXIgx66hMXNUjWtya.jpg,317,140,8.88
46,카페 린,4.81,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210921_227%2F1632212957056GEhuz_JPEG%2Fr5_0dEV8rGNVqOEnpjuyBce3.jpeg.jpg,183,65,8.91
47,삼진어묵 부산역라마다점,4.42,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191216_253%2F1576475879807HY0XF_JPEG%2FBhoI8uEiiOkFJPj3O6dUDHjm.JPG.jpg,1544,94,9.08
48,영진어묵 본점,4.44,,556,91,8.89
49,목구멍 초량점,4.67,,376,98,8.98
50,신발원 신관,4.63,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211118_38%2F1637221613092yP6E8_JPEG%2F%25C4%25B8%25C3%25B3.JPG,651,71,9.15
51,마리스텔라 커피,4.59,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220118_128%2F1642482329950KXtYQ_JPEG%2FKakaoTalk_20220118_140238411_11.jpg,244,170,8.83
52,경양식 달과6펜스 본점,4.33,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180710_252%2F1531208054346pP2UO_JPEG%2FtnmQd-_YVb-ZlkZQB69bIS64.jpg,387,174,8.64
53,덕미생선구이,4.53,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190224_121%2F1550982779897AkaJb_JPEG%2Farnu7ePrsVwfHHILiQgEIPXo.jpg,224,66,8.77
54,젠틀러커피,,,236,348,
55,일미밀면,4.61,,253,93,8.85
56,오성집,4.34,,259,82,8.58
57,모리쵸 광복점,4.52,,310,474,8.95
58,단테라운지,4.87,,81,87,8.97
59,북창동순두부 부산역점,4.33,,489,86,8.71
60,경북산꼼장어,4.71,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211214_41%2F1639436227720c1G0J_JPEG%2FDSC_8736.,422,1396,9.33
61,환공어묵 부산역점,4.41,,5591,139,9.14
62,밀양순대돼지국밥 부산점,4.28,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200616_288%2F1592287871001WWCgx_JPEG%2FBRxOjBzHwWS44_y-PC08DnyM.jpg,429,216,8.72
63,비엔씨 부산역점,4.48,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200120_82%2F1579449252967aCK8s_JPEG%2FCsotGCwhAXSjsoKJzm77THuq.jpg,419,291,8.92
64,삼익식당,4.54,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200524_84%2F1590247525536X9W57_JPEG%2FOjgYTjJNFc2xm839RPGps_BD.jpg,303,72,8.85
65,홍성방 본관,4.22,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_267%2F14410678905654t2DB_JPEG%2F156155413635162_0.jpg,424,153,8.6
66,부광숯불갈비,4.33,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160726_219%2F1469511465996nKdCK_JPEG%2F176671508764616_0.jpeg,76,152,8.43
67,니시나리,4.62,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211019_142%2F1634646632740Iii3x_JPEG%2FTM9B_u_LffLFS6kKmlvB1Mcq.jpeg.jpg,57,37,8.72
68,한량천하,4.49,,78,39,8.59
69,남스시,4.38,,80,137,8.48
70,스타벅스 부산역점,4.49,,2177,94,9.22
71,양지아구찜,4.44,,278,129,8.68
72,황산밀면,4.32,,220,135,8.56
73,공간,4.51,,119,58,8.61
74,만석미역 본점,4.48,,101,118,8.58
75,원향재,4.21,,208,154,8.45
76,독도횟집,4.46,,66,26,8.56
77,광복경양식 남포본점,4.4,,595,135,8.85
78,밀양돼지국밥,4.18,,418,49,8.56
79,사해방,4.26,,458,102,8.64
80,채선당 부산역점,4.17,,306,92,8.48
81,참맛카롱,4.61,,513,185,9.06
82,이승학돈까스 본점,4.51,,1197,317,9.19
83,더도이종가집 돼지국밥 부산역점,4.22,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181115_1%2F1542249575529KKlYy_JPEG%2FpuQMPmi626qe6OI5ILeNc0Qw.JPG.jpg,382,184,8.53
84,맥도날드 부산초량DT점,4.43,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191008_59%2F15705061341139sHrd_JPEG%2FOtmEhcPYe7mUu-JKDUGG8EQ3.jpg,6001,62,9.16
85,수랏간,4.34,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180512_98%2F1526096923263glmta_JPEG%2F8HAeMMUcVbaEhUIWsdWvNSn9.jpg,89,123,8.44
86,골목갈비집,4.2,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211015_91%2F1634277757925UVRev_JPEG%2FQSYq38SKexJ8wcAL1STndjIT.jpg,243,55,8.44
87,고메밀면,4.28,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200921_193%2F1600673047420zdKYv_JPEG%2FIpv2JacSV1AClRmw_NhU8Rpe.jpg,196,35,8.38
88,한림양식당,4.53,,70,34,8.63
89,새포항물회,4.49,,116,10,8.59
90,크리스아트케이크 부산역점,4.76,,74,61,8.86
91,무궁화,4.33,,278,55,8.57
92,금채복이네산꼼장어,4.9,,162,789,9.21
93,스시카메,4.35,,152,129,8.45
94,임채환참치정육점,4.66,,82,49,8.76
95,던킨 부산역라마다점,4.49,,2047,43,9.22
96,오드이븐 부산역점,4.76,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200525_65%2F1590397962770ePvkh_JPEG%2FavFSHX-ZdpTAo0xDFJXMuyp6.jpg,255,88,9
97,수복센타,4.46,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150925_65%2F1443162611029dy3cq_JPEG%2F166875556029009_0.jpg,359,284,8.83
98,스타벅스 부산역라마다점,4.54,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png,3241,61,9.27
99,서울깍두기,4.21,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200203_92%2F1580714832201emjzD_PNG%2F%25C1%25A6%25B8%25F1_%25BE%25F8%25C0%25BD.png,407,113,8.59
100,꽃가람,4.5,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220213_253%2F16447255218660hCUY_JPEG%2F71EF4DAE-F29D-46A2-AEF7-43E39752BBB8.jpeg,259,83,8.74
101,요이참치 초량점,4.61,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180731_155%2F153303105812362qsN_JPEG%2F8FSBoUt89mMpnKxSo6tSUHIG.jpg,47,81,8.71
102,삼산면옥,4.3,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200508_168%2F1588920758233Mewcj_JPEG%2FrW3FZcEM10DSFRL44pWx6xuZ.jpg,264,92,8.54
103,중구기사식당,4.5,,110,92,8.6
104,써브웨이 부산역점,4.28,,170,14,8.38
105,스시보노,4.24,,223,48,8.48
106,스푸만테&알파스토,,,5,5,
107,마마도마,4.3,,503,353,8.84
108,이찌마오산오징어물회전문점0311,4.27,,419,17,8.65
109,하가네매운등갈비,4.67,,39,42,8.77
110,북경,4.44,,206,64,8.68
111,롯데리아 부산역점,4.29,,,38,
112,산동완탕교자관,4.43,,187,101,8.53
113,맛나감자탕 초량점,4.37,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180831_101%2F1535702080975d9d4E_JPEG%2FaevMTpfHFmQMZJ16Vd6YM5xQ.jpg,664,47,8.89
114,투썸플레이스 부산역점,4.35,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200514_68%2F1589429896777fNtH9_JPEG%2FBMFcrStkly31ERTghqHtdoXz.jpg,755,53,8.94
115,88중국대반점,4.4,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190121_117%2F1548057213864k7h8F_JPEG%2FU2Yv7OvUb59f7pKKNu7BRygT.JPG.jpg,84,106,8.5
116,초량돼지국밥,4.07,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170330_247%2F1490837469008HHMXF_JPEG%2FuserRegistration_c610243c703d448598e985b423085253_106.jpg,444,122,8.45
117,파리바게뜨 부산역점,4.36,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200514_223%2F1589430359495ckYa0_JPEG%2FqBD9VVs1nE4HsnrYRqRVjE1L.jpg,1408,13,9.02
118,유가네닭갈비 부산역점,4.48,,312,27,8.79
119,장원돼지국밥,4.4,,301,40,8.71
120,라마다앙코르부산역호텔 얼라이브,4.7,,29,18,8.8
121,부경불백,4.37,,577,198,8.82
122,코모도호텔부산 고담,4.66,,81,62,8.76
123,할매복국,4.1,,186,56,8.2
124,할매돼지국밥집,4.34,,81,33,8.44
125,개미집 부산역점,4.39,,361,204,8.76
126,하운드호텔 부산역,4.57,,115,118,8.67
127,바사삭치킨강정 본점,4.45,,152,76,8.55
128,군스빽립,4.5,,149,253,8.66
129,초량화닭,4.3,,117,73,8.4
130,문출래된장,3.92,,187,59,8.02
131,화교대반점,4.17,,333,99,8.48
132,궁중손칼국수,4.22,,143,2,8.32
133,배스킨라빈스 부산역광장점,4.3,,923,25,8.89
134,불막열삼 초량점,4.42,,96,29,8.52
135,첵앤아웃 BAR & PUB,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200302_121%2F1583146391882gDSBm_JPEG%2FQqwgxVeg98rvQkmMYRYChcvu.jpg,3,3,
136,중앙돼지집,4.42,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170522_211%2F14954339103911QNbz_JPEG%2Fimage.JPEG,192,41,8.52
137,반월당닭강정 부산역점,4.71,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190126_271%2F15485106635746hB2c_JPEG%2F4x6etY9rp4V6ZsHVTFRS1tbC.JPG.jpg,40,32,8.81
138,뉴리틀인디아,4.39,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_186%2F1441083356271WIgyy_JPEG%2F166367553757083_0.jpeg,56,41,8.49
139,오륙도수제순대,4.5,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170425_222%2F1493106133962DIAq4_JPEG%2F186371537767220_0.jpeg,108,65,8.6
140,남자마늘보쌈 초량점,4.28,,380,57,8.59
141,168도시락국,4.47,,60,83,8.57
142,부산역부산오뎅 몬스터마마,4.41,,68,16,8.51
143,이어도대구탕,4.38,,280,57,8.62
144,채선당행복가마솥밥 부산역점,4.59,,44,19,8.69
145,비꼴로,4.6,,48,44,8.7
146,이삭토스트 부산중앙점,4.65,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200228_50%2F1582859272135RhDdB_PNG%2F%25C7%25DC%25BD%25BA%25C6%25E4%25BC%25C8%25C5%25E4%25BD%25BA%25C6%25AE.png,384,9,8.96
147,청춘돼지국밥,4.16,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201008_296%2F1602126889775I9DVK_JPEG%2Fun33VzUnVpK2hkwqYDzh6QwC.jpg,198,174,8.26
148,국민삼겹 초량점,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211103_209%2F163591378145590R42_JPEG%2FmqwSRD_WVLmz2fDqoi_Hdc0Q.jpg,267,52,
149,상해탄,4.44,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190518_287%2F1558153737656JEUmH_JPEG%2F4qgQj4YgAzsFddxxNR02-xdP.jpg,169,52,8.54
150,설빙 부산역점,4.48,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201221_117%2F1608543296282iCrJc_JPEG%2FjHjMKzzVmFkUIofodnbMp0zu.jpg,558,26,8.93
151,우쿠야 부산역점,4.47,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200410_96%2F1586511825229Qtf2W_JPEG%2F2zbnvdd2NmwXCQbjtYukYivO.jpg,127,11,8.57
152,유원,4.72,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200522_26%2F1590139526412arGsB_JPEG%2F9Tcwal8Ep5SN-Z5Qc_3MBTf8.jpg,104,6,8.82
153,경회루,4.47,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_274%2F14410185945228DfuU_JPEG%2F96072556269787_4.jpg,264,34,8.71
154,청년다방 부산역점,4.58,,130,14,8.68
155,서울감자탕,4.55,,215,57,8.79
156,일품양평해장국 부산역점,4.44,,115,13,8.54
157,모토,4.86,,34,33,8.96
158,포항참가자미횟집,4.44,,291,68,8.68
159,168빵카페,4.21,,15,61,8.31
160,고반식당 초량점,4.36,,140,55,8.46
161,경주국밥,4.35,,203,86,8.59
162,장춘방,4.27,,150,67,8.37
163,고집센그집갈비탕 부산초량점,4.26,,408,25,8.64
164,초량골목갈비 원조산수갑산,4.23,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210903_159%2F1630630449319LuK8P_JPEG%2FyzzW0vYg6rGMAVhUaLD7GY-A.jpg,122,96,8.33
165,북경 만두,4.42,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190712_55%2F15629008543265Yf9G_JPEG%2FEPV1OfU28bwD34VJjQzF3HKl.jpg,174,42,8.52
166,그리다부부,4.65,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210424_33%2F1619192356539TfhUQ_JPEG%2FDSCF6330.jpg,560,519,9.25
167,이진한우참숯,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210530_109%2F1622357903932Ype2v_JPEG%2FLBLf7iNPdccNm_vGVA1-ft45.jpg,210,16,
168,와플칸 본점,4.44,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190829_186%2F1567066703777Afmdl_JPEG%2FYiZ9vGtUEgw72k04IkTtWjoV.jpg,370,146,8.75
169,코모도호텔부산 온새미로,3.5,,28,15,7.6
170,수정횟집,4.25,,114,63,8.35
171,앤그레이커피로스터스 부산역점,4.39,,187,19,8.49
172,미식가의구이 부산역점,4.46,,123,52,8.56
173,할리스 부산역사점,4.47,,397,15,8.78
174,초량형제갈비,4.72,,51,342,8.91
175,카페 규린,,,10,40,
176,씨맨즈클럽,,,21,52,
177,스타벅스 부산역아스티점,4.53,,2695,60,9.26
178,원조불백,4.38,,492,396,8.85
179,마당집,4.13,,33,17,8.23
180,소문난 밀면,4.33,,77,19,8.43
181,교촌치킨 초량점,4.38,,,15,
182,임페리아푸드,4.49,,367,85,8.8
183,괴정돼지국밥,4.56,,44,13,8.66
184,625막걸리,4.36,,144,38,8.46
185,더벤티 부산역점,4.51,,753,3,9.1
186,역전할머니맥주 초량점,4.43,,327,20,8.74
187,정쭈삼,4.83,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210613_126%2F16235244137006twMV_JPEG%2F6S6qM3JiK-lkj5LX1iNefMfa.jpeg.jpg,104,120,8.93
188,HALEY,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220520_269%2F1653012304216qtsfW_JPEG%2F77E11785-4BE8-4271-BE12-F3871A23D69A.jpeg,61,8,
189,카페이차,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211118_30%2F1637161896417zAtpm_JPEG%2F71C518B3-9CEE-4FE4-B114-FB34778AE412.jpeg,165,39,
190,초량갈비,4.71,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191217_177%2F1576589950266tzwEg_JPEG%2Fd6ae-8gAnK8GF7rlfxokGb4R.JPG.jpg,62,199,8.81
191,설빙 남포점,4.52,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201002_67%2F16016502861761jLMh_JPEG%2FUMwF9ZVuL_43OSSM6xderoqQ.jpeg.jpg,762,26,9.11
192,써브웨이 부산광복점,4.28,,1002,75,8.87
193,사마르칸트,4.41,,64,39,8.51
194,남궁고기국수 중앙동점,4.46,,112,28,8.56
195,두툼왕돈까스,4.31,,308,186,8.62
196,차오푸,4.31,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190521_85%2F1558418395482CUzon_JPEG%2FnQa_GrizAI6UbVV9M2v3XMAM.jpg,374,143,8.62
197,용궁횟집,4.39,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200420_37%2F1587346269943cLM18_JPEG%2F6qRJl8e1n4wG-o93hLmBlc3j.JPG.jpg,130,19,8.49
198,고궁삼계탕,4.28,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200608_141%2F1591623720959U371q_JPEG%2F4nKzyqNK3k0Cf-fRUKDfBBdT.jpg,103,41,8.38
199,옛날복국,4.15,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_113%2F1441070341349SWeCS_JPEG%2F166078546964195_0.jpeg,80,10,8.25
200,한솥도시락 부산역앞점,4.39,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200514_268%2F1589423132983tQyrB_JPEG%2FoLdVPtm6I30gA3nwpsONRFR3.jpg,466,22,8.77
201,순남시래기 국제시장점,4.19,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190130_61%2F1548807640423Or1Dn_JPEG%2FwyLH6eEswXwAPeZQWovID2_w.jpeg.jpg,101,50,8.29
202,초량죽집,4.33,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200130_242%2F1580364718462YUvCL_PNG%2F%25C1%25A6%25B8%25F1_%25BE%25F8%25C0%25BD.png,354,18,8.64
203,선화당,,,,92,
204,스모크그릴,4.75,,19,17,8.85
205,얼큰이손칼국수,4.09,,71,83,8.19
206,크리스피크림도넛 부산역사점,4.34,,1304,18,9
207,초량양곱창,4.21,,27,6,8.31
