,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,평점
44,OK암소갈비 본점,4.52,,113,13,8.62
45,남천집 부산진역점,3.98,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200516_291%2F1589591208461wcFev_JPEG%2FFxCu5cVGvWEtduohgWcLyAVV.jpg,31,100,8.08
46,소술담어탕,4.3,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200802_116%2F1596368508955DsU1I_JPEG%2F5R0gFHVIo2dOWXifm14_vBMx.jpg,333,12,8.61
47,할매집수육,4.58,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211103_220%2F1635927166364fj3IJ_JPEG%2F9009GPdtNlrwYLGUFyRl0uEP.jpg,20,2,8.68
48,웅복,4.45,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190423_193%2F1556027119043T7Ry7_JPEG%2F5IfApeHTnW8M4CKcgRXH6C7R.jpg,70,18,8.55
49,섬진강재첩국,4.36,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_195%2F1441040871074CckKe_JPEG%2F20267796_0.jpg,165,18,8.46
50,고봉민김밥인 부산부산진역점,4.44,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220214_87%2F16448042313851HqxD_PNG%2F%25C0%25DA%25BB%25EA_1.png,648,2,8.96
51,구츠구츠,4.37,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160325_298%2F145889064797090nRP_JPEG%2F176273564459733_0.jpeg,36,19,8.47
52,교촌치킨 수정1호점,4.43,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200818_85%2F1597717683085A03EM_JPEG%2FCHD-qdCTes7TVH-cGqa9IrQ_.jpg,91,3,8.53
53,고관탕수육&함박 본점,4.38,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200504_247%2F1588561818156GvUFM_JPEG%2FEVOgR_T1ZWilbBHdn3sJXkxx.jpg,174,21,8.48
