,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,방문자 리뷰 구간,블로그 리뷰 구간,평점
64,맛있는고기에솜씨를더하다 사하점,4.63,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201230_1%2F16093023883798MvDP_JPEG%2FbGFBJiJaCnLUsnT5UM0rjY1J.jpg,320,26,6,4,9.17
65,정직유부 부산괴정점,4.55,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_164%2F15669600178018bJRT_JPEG%2FAmzFaB18MQRFj-pwVtrWjywn.jpg,490,18,8,2,8.97
67,백년지기,4.2,,94,139,2,8,8.98
71,복담가 본점,4.41,,241,17,5,2,8.77
73,초원아구찜,4.48,,204,132,5,8,9.32
74,컴포즈커피 사하점,4.58,,113,3,2,0,8.72
75,더진국수육국밥 하단점,4.43,,371,119,7,8,9.31
76,더가리비,4.53,,122,85,3,7,9.25
77,전국밀면,4.53,,133,32,3,4,9.01
78,모름지기 연탄구이 괴정점,4.39,,167,32,4,4,8.89
79,경주국밥,4.24,,127,23,3,3,8.64
80,아웃백스테이크하우스 부산하단점,4.46,,3783,430,9,9,9.46
82,자성화맛집코다리네 부산사하점,4.43,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170310_122%2F14891226532489w8TK_JPEG%2F186256545150894_0.jpeg,452,24,8,3,8.93
83,홍돈,4.58,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_86%2F1441060026821xBSno_JPEG%2F146971425732133_0.jpeg,128,53,3,6,9.22
84,골목주막,4.7,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210701_294%2F1625128396701sSJjW_JPEG%2F7ca3Xiln-4XdgOxtPDHu9ECL.jpeg.jpg,76,19,1,3,9.06
85,개미집직영점,4.31,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190130_1%2F15488464410337xyHu_JPEG%2FNM9WN72vWW_PhQRu-Nf5OJm2.JPG.jpg,238,26,5,4,8.83
86,당리사계절밀면본점,4.36,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200114_230%2F1578966264192XdNYE_JPEG%2F1DqO2Tmm4uDEdpbToiAYqvu_.jpg,430,77,7,7,9.16
87,오거리밀면,4.39,,402,55,7,6,9.11
88,카페문득,4.52,,198,79,5,7,9.28
89,인오프,4.63,,271,318,6,9,9.57
90,진성원,4.51,,56,222,1,9,9.35
91,후라이드참잘하는집 괴정감천점,4.55,,328,17,6,2,8.93
92,왕밀면냉면전문,4.57,,135,11,3,1,8.81
93,니뽕내뽕 아트몰링하단점,4.43,,249,60,6,6,9.13
94,봉평산골메밀촌,4.4,,517,42,8,5,9.06
95,장방,4.32,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161214_101%2F1481701466840cCXky_JPEG%2F177164567444319_0.jpeg,467,77,8,7,9.14
96,고집센그집갈비탕 부산하단점,4.34,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170726_258%2F15010591789328eAKd_JPEG%2F186676578278264_0.jpeg,490,42,8,5,9.0
97,장수양곱창,4.58,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191225_291%2F15772828666687y7S3_JPEG%2F9AutE5jV-JH_AhZmvmUsSkny.jpg,38,18,0,3,8.92
98,청솔양곱창,4.37,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180514_110%2F1526299603238zUQMx_JPEG%2FaH6xUQWjS_t1vO87Vq1-N6uw.JPG.jpg,67,16,1,2,8.65
99,쟌쟌,4.57,,131,81,3,7,9.29
100,달밤202,4.67,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210225_273%2F16142238794761mMiC_JPEG%2FhaaG5vE78UD9OhfsUrGWFmCu.jpeg.jpg,41,6,1,0,8.79
101,춘하추동칼국수,4.78,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200207_208%2F1581082639861puhQr_JPEG%2FNk2N61L0ipdYthER8NxvBMG3.jpg,902,12,9,2,9.22
102,아사,4.71,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170213_167%2F1486971301412VcOMP_JPEG%2F186163566521_0.jpg,194,251,5,9,9.63
104,내호냉면,4.3,,289,33,6,4,8.84
105,영광양대창,4.5,,28,58,0,6,9.08
107,송가네 꼬리,4.66,,82,50,2,5,9.2
110,쉐라미과자점,4.38,,510,15,8,2,8.8
111,하남돼지집 부산하단점,4.32,,247,348,5,9,9.24
112,엔제리너스 부산당리점,4.38,,602,22,8,3,8.88
113,킹콩부대찌개 하단아트몰링점,4.38,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211208_290%2F1638948454339oJV0a_JPEG%2F77%25C5%25B7%25C4%25E1%25BA%25CE%25B4%25EB%25C2%25EE%25B0%25B3_BI_JPEG.jpg,718,69,9,7,9.22
115,맘스터치 괴정휴포레점,4.32,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190118_208%2F1547821669863QmnUO_JPEG%2FIH1KHZFLuFD5JOtqcIdELHkt.jpeg.jpg,413,9,7,1,8.64
117,샤브향 부산괴정점,4.4,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_38%2F1440987145721hKF3N_JPEG%2F35215425_0.jpeg,557,378,8,9,9.38
118,설빙 당리점,4.33,,277,20,6,3,8.79
119,버거15,4.54,,33,10,0,1,8.72
120,할매복집,4.29,,96,21,2,3,8.67
121,장미돼지국밥 괴정점,4.58,,266,28,6,4,9.12
