,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,방문자 리뷰 구간,블로그 리뷰 구간,평점
49,알쏭달쏭해,4.51,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201211_177%2F1607670658208fMkYX_JPEG%2Flbq-Tc1lzXXxATu4eWjixxlo.jpg,72,151,3,9,9.39
50,캔버스,4.51,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190630_112%2F1561875410318iChGO_JPEG%2F2UuOWBZnX-g8XcZsfKpPpGCR.jpg,598,49,9,7,9.35
51,노란집하우스,4.6,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200203_119%2F15807291953746qyi0_JPEG%2FZ5cTWpPOS5D0EHl2VVm7S3J4.jpg,41,24,2,4,9.06
53,얼큰이칼국수,4.5,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211216_242%2F1639636526884BY97U_JPEG%2FoRGOJ_oA3pRvmnithY9AHby0.jpg,40,118,1,8,9.26
54,옛날국수,4.52,,66,13,3,3,8.92
55,레프트뱅크,4.47,,363,47,8,6,9.21
56,샌디버블,4.66,,277,38,8,6,9.4
57,섹시한떡볶이,4.27,,790,32,9,5,8.95
60,버틀러 에스프레소 바,4.58,,58,89,3,7,9.3
61,뼈큰감자탕 남산점,4.38,,499,41,9,6,9.14
63,대림석쇠불갈비,4.46,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200131_189%2F1580464940058l994O_JPEG%2FageFG7APL3pC4aixI4LO00OR.jpg,57,39,2,6,9.08
64,황금돼지,4.41,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180828_56%2F1535434857165Lkq1g_JPEG%2F-5uitxGNDMBsruZtVGL1PYUm.jpg,63,32,3,5,8.97
65,또르또르,4.88,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210428_180%2F1619578942022BPCAg_JPEG%2F9lg-ElAdNbI9tPE9sMyu3sxl.jpg,32,90,1,7,9.56
67,자청룡,4.66,,77,31,4,5,9.24
68,일송정,4.44,,23,24,0,4,8.86
69,파스쿠찌 남산역점,4.52,,486,5,9,1,8.88
70,신떡 대명점,4.63,,53,11,2,3,9.01
71,몬나니떡볶이 본점,4.35,,580,129,9,8,9.27
73,공차 경북예고점,4.53,,541,11,9,3,9.05
74,루프앤,4.46,,192,84,7,7,9.26
76,오랑발리,4.6,,31,41,1,6,9.2
77,라지트,5.0,,17,57,0,7,9.66
78,쌤스토리,4.58,,98,115,5,8,9.42
79,실내포차 주주총회,4.72,,36,5,1,1,8.92
80,백록담 대명점,4.2,,50,18,2,4,8.66
81,투움바,4.68,,69,24,3,5,9.24
82,또이스치킨찜닭,4.42,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190925_97%2F15694191375818JbLA_JPEG%2FOsdWL8nw4yIZIQBfcuCgFBEi.jpeg.jpg,1115,368,9,9,9.42
83,초밥집,4.61,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200130_210%2F1580378744967vjGHq_JPEG%2FuI0K_KHZe2-bkvnTMrJ8beXU.jpg,87,22,4,4,9.11
84,돈탄,4.38,,622,30,9,5,9.06
85,갓샐러드 대명점,4.38,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200803_219%2F1596430873569RqMm8_JPEG%2Fqp1ikAS7FltQYRNtK2qQS9Y-.jpg,55,37,2,6,9.0
86,이디야커피 대구남산점,4.44,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201218_157%2F1608286215970a0JSl_JPEG%2FxBRBneDw4GnGoXMzpdHmNh8_.jpg,125,8,6,2,8.82
87,맥아더키친,4.41,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161122_222%2F1479762430066JLaPy_JPEG%2F177072463727189_0.jpeg,464,601,8,9,9.39
89,묵찜빠,4.5,,79,92,4,8,9.32
90,맘스터치 대명계대점,4.49,,248,8,8,2,8.91
91,하루족발보쌈,4.54,,111,15,5,3,8.98
92,스브스브,4.79,,95,30,5,5,9.39
93,카페어노드,4.46,,87,126,4,8,9.28
94,네모유부,4.64,,116,14,6,3,9.1
95,돈미관,4.52,,50,42,2,6,9.14
