,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,평점
47,고봉민김밥인 부산남포점,4.23,,499,22,8.61
48,한씨꼼장어,4.29,,72,167,8.39
49,명문김밥,4.17,,75,56,8.27
50,동원양곱창,4.49,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190131_105%2F1548922935697gyT8l_JPEG%2F7VjqIDc__aaATwIYzkvC1e3n.jpg,52,75,8.59
51,준코노래타운 남포점,4.13,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_18%2F14410353238244MQsQ_PNG%2F12894064_0.png,37,9,8.23
52,디네트,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220604_197%2F1654332778901PnKE2_JPEG%2F40E3CA65-CC05-4DA1-A10E-B68F281C162E.jpeg,,1,
53,자연산횟집2,4.28,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191212_161%2F1576090570825mzDqH_JPEG%2F9dfjI_tPK-SGIRCh2IG3ULQH.jpeg.jpg,141,43,8.38
54,T.G.I.프라이데이스 롯데백화점 광복점,4.4,,768,194,8.99
55,유노추보 광복점,4.5,,73,112,8.6
56,바다횟집,4.17,,289,84,8.41
57,남해횟집,4.1,,249,143,8.34
58,일광양곱창,4.57,,81,116,8.67
59,주연네곰장어,4.45,,101,42,8.55
60,우향한식뷔페,4.5,,39,3,8.6
61,영도횟집,,,7,298,
62,대선횟집,4.27,,387,316,8.67
63,크리스피크림도넛 부산롯데광복점,4.42,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220520_203%2F1653008099518i5shn_PNG%2FKKD_%25B7%25CE%25B0%25ED_%25B4%25EB%25C1%25F6_1_%25B4%25EB%25C1%25F6_1.png,1749,33,9.08
64,오는정케이크,4,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210916_148%2F1631789985275ry2jb_PNG%2FRq8P34kPYqelxtm_MU2Gg3d7.png,20,98,8.1
65,온기정 롯데백화점광복점,4.19,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200811_89%2F1597138068337D7unN_JPEG%2Fzo4Obrs10k_YHw3Li3xwvj-I.jpg,975,320,8.87
66,할리스 부산서구청점,4.4,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210302_125%2F161464487124061agC_JPEG%2FK15utTFWXeuNEny1JMXiV57W.jpg,129,4,8.5
67,자갈치양곱창,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191223_281%2F1577081870608YIt64_JPEG%2F1KSw1sg0CTzejBd_WWBg2x7m.JPG.jpg,7,23,
68,원조 73년 3대 엄마집숯불꼼장어,4.71,,73,98,8.81
69,하나네양곱창,4,,11,10,8.1
70,동성장어구이,4.27,,97,34,8.37
71,엘라보라도,,,121,113,
72,삼진커피 남포점,4.33,,835,195,8.92
73,백화곱창센터,3.97,,35,54,8.07
74,십이오뎅바,4.59,,39,11,8.69
75,총각상회,4.5,,145,544,8.75
76,하동남해꼼장어,4.29,,112,34,8.39
77,백두산 횟집,4.12,,53,13,8.22
78,오마이찬 테이스티보울,,,28,13,
79,구땡식당 남포점,4.51,,200,200,8.81
80,선일선어횟집,,,8,27,
81,가연장미역국정찬 자갈치점,,,4,48,
82,하대승담양갈비 남포점,4.26,,152,17,8.36
83,포베이 부산롯데광복점,4.42,,505,63,8.87
84,모스버거 광복롯데점,4.49,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190319_148%2F1552986192478xzB87_PNG%2F9wBsjD9dhiLRd1lVN2VpM46y.png,2997,244,9.28
85,승기씨앗호떡,,,8,246,
86,밀성횟집,4.43,,125,38,8.53
87,탕화쿵푸마라탕,4.22,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200713_187%2F1594607126324qeEXo_JPEG%2FwVRsO2utMgXV7mOXFFHcHgW4.jpg,162,67,8.32
88,포동충무김밥,4.58,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_178%2F1441110781529vnQFp_JPEG%2FSUBMIT_1396251307476_30836053.jpg,65,55,8.68
89,진주식당,4.44,,19,34,8.54
90,스타벅스 국제시장점,4.46,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190828_93%2F1566953601239OT9MQ_PNG%2FxX7Wv642gXMoTI0DAv0hRymS.png,1812,46,9.12
91,JVL부대찌개 롯데백화점광복점,4.44,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200817_196%2F1597639742660yJQzW_JPEG%2FEfuE43bMqRcIdhVbUVtuUf42.jpg,139,24,8.54
92,편백집 롯데백화점 부산광복점,4.22,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180511_23%2F1526014701632mCqnP_JPEG%2F9aMu3KuQUDBnMYQKqUmzftm1.jpg,301,92,8.53
93,폴바셋 롯데백화점 광복점,4.54,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fnaverbooking-phinf.pstatic.net%2F20200416_142%2F15870315578493BJQu_PNG%2Fimage.png,4631,89,9.27
94,한방이있는족발,4.56,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160707_16%2F1467875940379WCNC8_GIF%2F176651557623316_0.gif,116,6,8.66
95,함흥냉면,4.33,,19,17,8.43
96,부산양곱창,4.43,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161018_109%2F1476758028291TDo6a_JPEG%2F176953626961929_0.jpeg,19,3,8.53
97,더벤티 부산충무동점,4.38,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200617_94%2F1592362308610bnDTF_JPEG%2FguxhSS81pQo8vNapEfQwT65_.jpg,103,2,8.48
98,김밥천국 충무점,4.28,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_271%2F1441001799368LTN4F_JPEG%2F106764556642703_0.jpg,416,2,8.66
99,레드애플 롯데백화점 광복점,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220331_297%2F164872156351237jCc_JPEG%2F%25B7%25CE%25B0%25ED.jpg,11,61,
100,김해식당,4.34,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210613_258%2F1623572270495TLHVd_JPEG%2FimuXNnQxcK5TBX5L9dyDzvOX.jpg,348,174,8.65
101,영도식당,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200918_283%2F1600404730599Vc03m_JPEG%2FRiAhWZEPfjQojHpWio7NGZ7H.jpeg.jpg,,5,
102,영계마을서구청점,4.41,,84,16,8.51
103,주문진막국수,4.31,,334,11,8.62
104,델리커리 롯데백화점광복점,,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220215_184%2F1644888270703ySQ0e_JPEG%2F%25B7%25CE%25B0%25ED.jpg,169,39,
105,정항우케익남포점,4.39,,422,72,8.77
106,얼큰이돼지국밥,4.17,,38,11,8.27
