,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,방문자 리뷰 구간,블로그 리뷰 구간,평점
63,초량감자탕,4.48,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220523_153%2F1653282584731KQWQ2_JPEG%2FScreenshot_20220523-135025_Samsung_Internet.jpg,47,27,0,0,8.58
64,녹산횟집,4.38,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191018_189%2F1571406041110iQC5C_JPEG%2FXQgJ6gk7IzE9L3zk18ppNomt.jpg,166,56,3,2,8.7
66,마파람해물찜해물탕 시청직영점,4.5,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220309_35%2F1646819641833XSbh1_JPEG%2F%25B8%25B6%25C6%25C4%25B6%25F78070.jpg,774,249,8,7,9.32
67,명륜진사갈비 부산연산점,4.39,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180508_48%2F1525769161661POhh7_JPEG%2FmzbYBo2_6knf9kFLhaHptVlp.jpg,729,200,8,7,9.21
68,달과6펜스,4.48,,250,81,4,3,8.9
69,설빙 연산점,4.45,,478,35,7,1,8.77
70,갓파스시 연산점,4.24,,1794,514,9,9,9.24
71,카가와,4.56,,561,103,7,3,9.04
72,카페게더,4.5,,567,408,7,8,9.38
73,외식일번가 연제점,4.41,,2857,329,9,8,9.33
74,나정순할매쭈꾸미,4.51,,362,136,6,5,9.13
75,백야,5.0,,73,61,0,2,9.26
76,길 세이로무시 시청본점,4.53,,302,680,5,9,9.45
78,도쿠도쿠 시청점,4.54,,235,148,4,6,9.2
79,감각엔유부,4.75,,378,125,6,5,9.37
80,미니코미,4.85,,75,44,1,1,9.05
81,스시길,4.46,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181108_184%2F15416538594486ESf2_JPEG%2FY4_zR8mAxX5hm0cU-5CIYjHW.jpg,325,135,5,5,9.06
82,징기스 부산시청점,4.66,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170311_92%2F1489208289449RJ6LS_JPEG%2F186261538828477_0.jpeg,192,258,3,7,9.38
83,몰틀리 연산점,4.69,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200721_44%2F15953203580534KGhi_JPEG%2FCrBlGNdv6O_uAyiRXdO_jX4l.jpg,259,128,5,5,9.29
84,고반식당 연산점,4.65,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160503_26%2F1462267540869GmW9c_JPEG%2F176453585558243_0.jpeg,507,866,7,9,9.61
85,대소가,4.51,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180216_71%2F1518767205828d20UH_JPEG%2FXhHv4LsbDdkc7LfZIb1bt_yN.jpeg.jpg,525,164,7,6,9.23
88,국제밀면 법조타운점,4.35,,413,124,6,5,8.97
89,봉평면옥,4.43,,143,97,2,3,8.81
90,새벽숯불가든부산점,4.4,,191,229,3,7,9.12
91,고기만,4.62,,80,469,1,9,9.46
92,혼참치,4.55,,174,257,3,7,9.27
93,노군꼬치 연산점,4.49,,191,116,3,4,8.97
94,그린애플,4.79,,168,226,3,7,9.51
95,라무진 연산교차로점,4.83,,155,114,3,4,9.31
96,고기쟁이,4.61,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220422_75%2F1650605262330oPlrK_JPEG%2F16506052292242285773505395930265.jpg,75,170,1,6,9.21
97,레이지모먼트 커피스탠드,4.79,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200511_12%2F1589191428822qvai5_PNG%2FcQyaiIlXr_pL1rzv_fUx0C_v.png,322,343,5,8,9.63
98,원할머니보쌈족발 부산시청점,4.54,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220629_288%2F1656468134092Gfheo_JPEG%2F%25BF%25F8%25BD%25D3_%25BD%25E6%25B3%25D7%25C0%25CF_%25B8%25DE%25C0%25CE_Rev2.jpg,87,23,1,0,8.66
99,아리횟집,4.49,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181228_289%2F15459806074878rgwn_JPEG%2FAmVJ_pRkFGAEI5fBJH8Agytk.jpg,221,109,4,4,8.99
100,쿼카맥주,4.9,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210427_54%2F1619523588783Cc8Sp_PNG%2Fysu0wcb4N2z_A7Dh7Q9npYA0.png,163,57,3,2,9.22
101,청솔물회,4.0,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20211001_93%2F16330920847803VuGx_JPEG%2FIw7CoDDtv__bU0s3ftQ_-Gcs.jpg,170,22,3,0,8.16
102,블루샥 시청점,4.57,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210118_225%2F1610953772788PuSpa_JPEG%2FqnyYQxQ2NoEny0kgtDYxTsS1.jpg,994,33,8,0,8.83
105,스완양분식,4.43,,848,128,8,5,9.09
106,보배밥상,4.38,,269,263,5,8,9.22
107,후스,4.49,,1226,333,9,8,9.41
108,수매풍생선구이식당,4.37,,447,77,7,3,8.85
109,대도회관,4.29,,209,335,4,8,9.11
110,스타벅스 부산연산역점,4.55,,3133,120,9,4,9.15
111,시장참치,4.48,,54,39,0,1,8.66
112,초대,4.92,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210927_116%2F1632722624960vbYUY_JPEG%2Fp4E328UPDf4DvC4w3Ic7dANB.jpg,36,38,0,1,9.1
