,점포명,별점,이미지,방문자 리뷰 수,블로그 리뷰 수,방문자 리뷰 구간,블로그 리뷰 구간,평점
51,오리명가빨간집,4.48,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200605_200%2F15913055567376KRJu_JPEG%2F7dOvWn2tI92ir6DchYFzZ_kI.jpg,54,44,3,8,9.28
52,불막열삼 괴정점,4.4,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201109_105%2F1604904350819CPtGh_PNG%2F7V6md9BA1xm2Z6TUxwxTXz6Q.png,84,14,5,5,9.0
53,해닮코다리,4.43,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191218_277%2F1576639951119l90b1_JPEG%2F8ouvWp_AmfQKXZghTNFVXzq6.JPG.jpg,335,21,8,7,9.25
54,노랑통닭 부산괴정점,4.5,,234,26,7,7,9.3
55,두끼 부산괴정점,4.36,,357,5,8,2,8.78
56,병천황토방순대 괴정점,4.32,,279,61,7,8,9.2
57,괴정춘천닭갈비,4.45,,88,17,5,6,9.13
60,부산횟집,4.39,,53,3,3,1,8.63
61,마라촨향 & 양꼬치,4.64,,139,13,6,5,9.26
62,투썸플레이스 부산괴정점,4.35,,815,16,9,6,9.11
63,역전할머니맥주 부산괴정점,4.46,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191206_46%2F1575589594932d5suJ_JPEG%2F2HD_QIvp6C_F0Mi05oRolsKg.jpg,370,22,8,7,9.28
64,진흥반점,4.48,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190130_87%2F15488413570282v8Je_JPEG%2FUm0NnShZAFP9w1TRuAiiJWoB.JPG.jpg,82,5,4,2,8.82
65,수제맥주집 괴정점,4.45,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181224_155%2F15456494877796dkWN_JPEG%2FdM8Y7zN59kcRmpC4aMoM00-o.jpg,92,9,5,4,8.97
67,컴포즈커피 괴정대로점,4.37,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200814_248%2F1597380384027fvFnw_JPEG%2F4BRDGeqhcKvE1pHVC0F1Ro9g.jpg,289,3,7,1,8.69
68,사천성,4.45,,80,14,4,5,9.03
70,도야족발 괴정점,4.41,,98,28,5,7,9.17
71,김가네얼큰이구이 괴정점,4.57,,80,27,4,7,9.31
72,도미노피자 괴정점,4.47,,372,28,8,8,9.37
74,아궁이연탄구이,4.38,,24,12,1,5,8.9
75,유가네닭갈비 괴정점,4.39,,244,26,7,7,9.19
76,봄같은한끼,4.52,,59,53,3,8,9.32
77,괴정밀면,4.25,,47,7,2,3,8.63
78,수제권만두,4.61,,115,13,5,5,9.21
79,속에천불청송얼음막걸리매운고추정구지찌짐 괴정점,4.37,,19,9,0,4,8.79
80,바우네나주곰탕 괴정점,4.35,,477,16,8,6,9.09
81,커피랜드,4.43,,136,16,6,6,9.13
84,오서방뒷고기,4.6,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190130_289%2F1548846238933o5GT2_JPEG%2FRS40VPPrKSbLuwBFmmD6fzxn.JPG.jpg,34,18,1,6,9.2
85,가마치통닭 괴정점,4.43,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210702_241%2F1625206599837W599H_JPEG%2Fz1YoS3X8xZneYtJxgsLruc3r.jpg,288,3,7,1,8.75
86,칠칠켄터키 괴정점,4.24,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200122_148%2F1579669767536yQ3tN_JPEG%2FFMuC0J7Ta2pHgQ0fcYAx6-ul.jpg,189,43,6,8,9.1
87,마장동 괴정점,4.43,,60,67,3,9,9.31
88,피자헛 부산괴정2호점,4.48,,322,4,7,2,8.88
90,초림한식,4.19,,52,2,3,0,8.35
92,블루샥 부산괴정점,4.2,,179,26,6,7,8.98
94,텐퍼센트커피 괴정점,4.56,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210727_58%2F1627349402391Xr8DG_JPEG%2Fmc3zn7B-CG5OzIjHr8sgo2s7.jpg,91,3,5,1,8.84
96,홈팝참치 괴정점,4.48,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190111_161%2F1547202993441D12nf_JPEG%2FdDwzR1WV5rf1U4l7y87fnaz_.jpeg.jpg,69,36,4,8,9.3
97,오메가메,4.12,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190129_89%2F1548716423951K3dtJ_JPEG%2FGXHHl1KyoWjEaXfp2uDXxK3m.jpeg.jpg,78,10,4,4,8.62
98,생생돈까스 부산괴정점,4.46,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170911_51%2F15050886656973dp1W_JPEG%2F6uTs40LwdotKqI65w1SP7fQK.jpg,78,5,4,3,8.88
99,버거킹 괴정역점,4.0,,421,4,8,2,8.42
102,봉구비어 괴정점,4.54,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200122_102%2F1579668310302FYMgX_JPEG%2Fc3-o0olh8JKsU4gWjfLfSPIx.jpg,92,7,5,4,9.06
103,발리홉핑,4.25,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170502_45%2F1493693302092EsXvs_PNG%2F186379408779833_0.png,82,23,4,7,8.99
104,메이진,4.74,,32,14,1,5,9.26
105,석가신라해장국 괴정점,4.57,,73,17,4,6,9.23
106,이가네떡볶이,4.3,,232,3,7,1,8.62
107,요이참치 괴정점,4.5,,15,8,0,4,8.92
108,공공정원,4.53,,131,16,6,6,9.23
109,뚜레쥬르 부산괴정역점,4.74,,593,3,9,1,9.1
110,파리바게뜨 부산괴정점,4.43,,1457,8,9,4,9.03
111,해물장터,4.63,,51,8,3,4,9.11
112,용호삼박 스시 족발 치킨,5.0,,27,4,1,2,9.28
113,고성횟집횟집,4.49,,59,9,3,4,8.97
114,만복국수집 괴정점,4.19,,160,34,6,8,9.05
116,자미당,4.53,,182,7,6,4,9.07
117,롯데리아 부산괴정점,4.34,,1267,3,9,1,8.7
118,조개까는아낙네,4.79,,54,22,3,7,9.51
119,낙원빈대떡,4.27,,39,8,2,4,8.73
120,오두리할매셋째딸연탄쭈꾸미,4.54,,616,200,9,9,9.54
121,육동신치킨,4.64,,109,19,5,6,9.32
122,추담골사하점,4.48,,300,15,7,5,9.12
124,카페 만디,4.54,,1635,1215,9,9,9.54
125,마부마라탕 괴정점,4.38,,207,13,6,5,9.0
128,빙돈,4.52,,37,20,2,7,9.22
129,파스타 흔,5.0,,26,114,1,9,9.84
130,카페요있다,4.33,,246,1,7,0,8.57
134,청년피자 괴정점,4.43,,47,11,2,5,8.97
135,불로만치킨바베큐 괴정점,4.64,,49,15,2,6,9.26
136,김밥천국 괴정1호점,3.91,,115,1,5,0,8.11
137,정미성마산아구찜,4.25,,70,10,4,4,8.75
138,미소아구찜,4.38,,13,13,0,5,8.88
139,땅땅치킨 괴정점,4.27,,82,6,5,3,8.71
141,성빈영양탕삼계탕,3.91,,60,1,3,0,8.07
142,153구포국수 괴정점,4.18,,369,8,8,4,8.76
143,송이네추어탕 아구찜,4.14,,71,3,4,1,8.4
144,신필성참치,4.53,,21,19,0,7,9.19
145,지코바치킨 괴정점,4.59,,110,2,5,0,8.79
147,일마황태찜 아구해물찜,4.13,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_116%2F1441011351599rLeb8_JPEG%2F12070311_0.jpg,11,15,0,6,8.71
148,양정명동찌개마을 괴정점,4.76,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210324_239%2F1616562363184ykR4a_JPEG%2F_WG9VPnMl9TNPrlch8ikuRp2.jpg,92,6,5,3,9.2
149,전복나라,4.39,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190130_276%2F1548846358353sUYM5_JPEG%2F-Q1O7d_LvpSJ-7-nc174atgk.JPG.jpg,77,14,4,5,8.97
151,괴정생아구전문,4.64,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190129_250%2F1548716789898o9GlW_JPEG%2FwNGGXigayMLPKTNrnVzjm5kj.jpeg.jpg,111,9,5,4,9.16
153,김해생고기,4.57,https://search.pstatic.net/common/?autoRotate=true&type=w278_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190124_159%2F1548310792883nTp9M_JPEG%2FNx1EFtH65oS7TkaS1lxNLGRO.jpeg.jpg,63,202,4,9,9.47
154,산수갑산,4.4,,14,3,0,1,8.58
157,장독대,4.43,,104,2,5,0,8.63
158,맥시칸치킨 괴정A점,4.4,,52,1,3,0,8.56
159,도래돈,4.59,,37,10,2,5,9.13
160,갓신괴정점,4.14,,62,20,3,7,8.86
164,영천죽집,4.42,,69,4,4,2,8.76
166,더브레드괴정,4.35,,590,4,9,2,8.79
167,동키치킨 괴정점,4.6,,51,7,3,4,9.08
168,한우생생마을,4.49,,59,31,3,8,9.29
175,도담복,4.5,,71,4,4,2,8.84
176,썬더치킨 괴정1호점,4.35,,62,2,4,1,8.61
178,만타스시31 괴정점,4.47,,141,13,6,5,9.09
181,또순이네,4.2,,48,10,2,5,8.74
182,심사숙고,4.53,,21,1,0,0,8.63
183,메가커피괴정역점,4.28,,112,2,5,1,8.56
185,황금면옥,4.64,,80,8,4,4,9.14
186,화통연탄불고기,4.2,,78,4,4,2,8.54
189,한우마루,4.43,,42,2,2,1,8.65
191,뿔난닭발&오돌뼈,4.35,,31,3,1,1,8.55
193,미락,4.42,,271,6,7,3,8.9
